,text
0,hahaahshahw
1,hsjsajwjqjq
2,jsjssj
3,nxbddbsbsnss
4,jsjssjsjsjs
5,nsnsnsn
6,nsbssbsn
7,kssnsnsjdjee
8,nzbzzb
9,shhsbs
10,jsnsns
11,nssbsbsn
12,回复@青铜无边:我也很无奈
13,回复@爱上了一只属羊的兔纸R:哈 混在一堆蓝v里独树一帜啊
14,中国强大了，吓到了敌人！
15,飞啊
16,加油
17,哇
18,ananaan
19,hsjsha
20,fggh
21,bssbabba
22,bgsfs
23,bzbzbznzs
24,hshs
25,我是山东省菏泽曹县侯集镇西沙楼村村民，2016年下半年，我父亲骑电车在下班回家途中，被电信公司职员在马路中央拉扯网线给摔伤，送往医院，电信与曹县公费医院为省钱瞒着我们用别人参保人员身份证，为我父亲办理入院手续骗取医疗保险，我父亲被诊断为左肩胛骨骨裂！后续糊弄我父亲离开医院，后续治疗不
26,
27,我再也不听谁说了
28,啦吧啦
29,哎呦喂，这你也知道啊！么么哒
30,第一第一第一
31,回复@三少爷的十三剑:你地沟油苏丹红吃饱了吧
32,回复@A唐公子_359:你丫是水军吧，吃狗粮好吃吗？真几把奴性！
33,好
34,@车前子Che
35,现在几点
36,回电话
37,第一
38,回复@Tiniann:卡
39,张艺兴粉丝观光团
40,回复@Tiniann:送你上去
41,回复@爱上了一只属羊的兔纸R:张艺兴同款赞
42,兴迷发来贺电
43,中国加油
44,#张艺兴求婚大作战# #张艺兴# @努力努力再努力x 
45,不开心
46,[被电]
47,[bm思考]
48,搭配爱情的美妙只有我们知道
49,我我我我我我我我我wow
50,老同学。我想你了
51,回复@爱上了一只属羊的兔纸R:哈哈哈哈哈
52,回复@康佳冰箱洗衣机:这广告做的666
53,大家让个位让个位，康佳冰箱里有花生、瓜子、爆米花，边看边吃
54,默默举爪
55,飞呀
56,@没有一朵云想跟我回家
57,回复@ViVi-葭苇喵:诶诶。
58,回复@jay丶七:当然可信！
59,[抢到啦]
60,[xkl转圈]
61,#张艺兴求婚大作战# #张艺兴# 支持艺兴，支持所有三观正的好孩子@努力努力再努力x
62,什么鬼
63,你果然没更博
64,到底
65,哈哈还是
66,v哦v哦v
67,回复@Tiniann:滴
68,晚上我和我
69,什么是你是你是你
70,护手霜是不是
71,[加油][加油]
72,回宿舍是
73,伯贤生日诶，祝伯贤生日粗卡！
