,text
0,回复@人民日报:谢谢你美丽的小姐姐
1,围观的在哪里
2,6了6了！我的大中国👏
3,真牛
4,回复@反贪总局局长侯亮平:这是骗回复的
5,发动机是国产的吗？得瑟个啥玩意呢？
6,不错
7,回复@空城茶馆:别人不卖给你就不卖呗，哪有为什么？这种事又不是没发生过。
8,回复@丶月满西楼丶柒:为什么不卖啊？
9,回复@空城茶馆:万一哪天别人不卖了呢？
10,回复@丶月满西楼丶柒:不能买波音的，空客的？现在不都是这两家的嘛
11,回复@反贪总局局长侯亮平:侯亮平是你这种货色?exm搞笑
12,我想问下570架的去向？我好列个黑名单
13,回复@空城茶馆:因为只有自己会了才是最靠得住的。
14,命名规则能说下吗？
15,国产大机都起飞了，我们有什么理由不努力
16,为什么要自己造大飞机？
17,那些说什么再造出个什么什么再嘚瑟的人，说得就好像他自己分分钟能造出个航母一样。你咋不上天呢？
18,回复@反贪总局局长侯亮平:就嘚瑟！怎么了？
19,一个飞机本不必要花费太多钱，然而中国的研制体系，导致研究所与总装，及使用部门都想为自己捞油水，为自己的私营企业朋友整点项目赚钱。如果正儿八经的研制，估计多钱所谓的民营企业和国企部门被废。
20,回复@吓死本大帅了:长江1000是为arj 研发的，长江2000才算
21,回复@反贪总局局长侯亮平:目前外界普遍表示遗憾的是，C919没有搭载国产航空发动机，仍是采用进口产品。 不过，中航商发已经正在研制型号为CJ-1000A的国产航空发动机，并且取得了不错的进展。
22,回复@阿Q先生:这种人我身边也不少，我总结出来了，这类人通常：EQ低，遇事懒惰怕麻烦、不懂人情世故、喜欢简单直接还略为清高，以为世人皆醉我独醒；喜欢美国影视，绝大部份没出过国，羡慕老美的按章办事、迷信所谓民主。
23,有些人总感觉自己把这个社会看的透透的，众人皆醉我独醒。结果呢？有事了还得找警察，生病了还得上医院，在外国出事了还找大使馆！有意思吗？我们的国家正在慢慢成长，坏人奸商贪官哪个朝代，哪个国家都有，不要把自己的国家想的那么坏！中国会越来越好的👍
24,看到评论说A380，正好前两天去参观了airbus，生产一架飞机，要法国 德国 西班牙 英国好几个国家合作。现在有些人自动就把欧洲这么多国家的共同努力合并成一个国家的成果了是吧？ 再说国内现在一起步就得碾压欧美几十年发展经验，各种技术全get？你那么能咋不上天呢！不要太双标厚 呵呵
25,一点成就就小吹
26,
27,回复@人民日报:OK👌
28,时间调整到下午2点，搬好小板凳
29,回复@人民日报:在这里
30,回复@反贪总局局长侯亮平:有能耐你自己造一个啊
31,回复@SNH48-张雅梦:捕获野生学姐一只
32,云南人民发来贺电
33,回复@巨蟹座正能量男孩:怎么到处有你这智障在喷啊，所有微博下面都有你
34,什么时候能造出空客A380那种实力再来报道吧，这种小飞机也叫大飞机？而是零部件全是进口的
35,愿咱家的蓝天上全是C919的在飞翔。
36,回复@-徐文武-:长春一个稀烂的地方
37,回复@旧历五月十九:老铁在哪里念书。
38,回复@-徐文武-:厉害了老铁
39,回复@人生就是博赌:你连会员都充不起，装什么逼？
40,回复@克劳德斯特莱夫:发军火一切都不是问题！
41,回复@人生就是博赌:咋了你现在又改变主意不闹革命了？改进演艺圈了？
42,回复@江山葵:别人唱唱歌就能挣个千八百万的搬毛线啊！你喜欢你搬
43,回复@旧历五月十九:是的啊
44,回复@-徐文武-:哦哟 还在我们武汉读书啊
45,转发微博
46,中国又迎来了一个盛世时代
47,诶，这个主持是好男儿里的？
48,回复@旧历五月十九:一样～
49,回复@人生就是博赌:40岁的老人家安心在家钓鱼就好了，别想的太多，还是想想晚上如何满足老婆吧
50,回复@隔壁家的大舅:实干成就梦想
51,加油，会越来越好的
52,回复@巨蟹座正能量男孩:有了就快了，总要迈出第一步
